0:0.196,1.096,2.2640000000000002
1:0.156,0.9040000000000001,1.7240000000000002
2:0.136,0.768,1.564
3:0.12800000000000003,0.76,2.0000000000000004
4:0.12,0.844,1.6199999999999999
5:0.244,1.124,2.1879999999999997
6:0.22,1.1320000000000001,2.1840000000000006
7:0.252,1.1280000000000001,2.2720000000000002
8:0.16800000000000004,1.036,2.112
9:0.24,1.108,2.136
10:0.28400000000000003,1.3320000000000003,2.428
11:0.23199999999999998,1.1880000000000002,2.3120000000000003
12:0.28,1.1640000000000001,2.5120000000000005
13:0.29600000000000004,1.3480000000000003,2.668
14:0.28400000000000003,1.3120000000000003,2.624
15:0.268,1.2680000000000002,2.6080000000000005
16:0.18000000000000002,1.124,2.64
17:0.34800000000000003,1.4120000000000004,3.0080000000000005
18:0.37599999999999995,1.484,3.132
19:0.19999999999999998,1.512,3.02
